1,OuqoX4q_Lds,1,可愛くなりたい,かわいくなりたい,HoneyWorks,HoneyWorks,771,1027,1,1
2,OuqoX4q_Lds,2,シンデレラ,しんでれら,DECO*27,DECO*27,1235,1388,1,1
3,OuqoX4q_Lds,3,アニマル,あにまる,DECO*27,DECO*27,1453,1603,1,1
4,OuqoX4q_Lds,4,残酷な天使のテーゼ,ざんこくなてんしのてーぜ,高橋洋子,たかはしようこ,1671,1922,1,1
5,OuqoX4q_Lds,5,PONPONPON,PONPONPON,きゃりーぱみゅぱみゅ,きゃりーぱみゅぱみゅ,2153,2390,1,1
6,OuqoX4q_Lds,6,神っぽいな,かみっぽいな,ピノキオピー,ぴのきおぴー,2524,2725,1,1
7,OuqoX4q_Lds,7,ヒロイン育成計画,ひろいんいくせいけいかく,HoneyWorks,HoneyWorks,2926,3141,1,1
8,OuqoX4q_Lds,8,好き！雪！本気マジック,すきゆきまじまじっく,Mitchie M,Mitchie M,3321,3519,1,1
9,OuqoX4q_Lds,9,シル・ヴ・プレジデント,しるゔぷれじでんと,P丸様。,Pまるさま。,3703,3892,1,1
10,OuqoX4q_Lds,10,地球侵略計画☆あまるてあっ！！,ちきゅうしんりゃくけいかくあまるてあっ,碧那アイル,へきなあいる,4149,4377,1,1
11,OuqoX4q_Lds,11,フェーデ,ふぇーで,白音ゆき,しらねゆき,4658,4868,1,1
12,OuqoX4q_Lds,12,アリアの最強しもべ計画♡,ありあのさいきょうしもべけいかく,月紫アリア,つくしありあ,5133,5238,1,0
13,OuqoX4q_Lds,13,INTERNET OVERDOSE,INTERNET OVERDOSE,Aiobahn feat. KOTOKO,Aiobahn feat. KOTOKO,5486,5578,1,0
14,OuqoX4q_Lds,14,おねがいダーリン,おねがいだーりん,ナナホシ管弦楽団,ななほしかんげんがくだん,5662,5854,1,1
15,OuqoX4q_Lds,15,ガチャガチャきゅ～と･ふぃぎゅ@メイト,がちゃがちゃきゅ～とふぃぎゅあっとめいと,MOSAIC.WAV,MOSAIC.WAV,6002,6230,1,1
16,OuqoX4q_Lds,16,はじめてのチュウ,はじめてのちゅう,ラミューズ,らみゅーず,6498,6753,1,1
17,OuqoX4q_Lds,17,ようこそジャパリパークへ,ようこそじゃぱりぱーくへ,どうぶつビスケッツ,どうぶつびすけっつ,6760,6959,1,1
18,OuqoX4q_Lds,18,紅蓮華,ぐれんげ,LiSA,LiSA,6962,7059,1,0
19,OuqoX4q_Lds,19,おどるポンポコリン,おどるぽんぽこりん,B.B.クィーンズ,B.B.くぃーんず,7061,7251,1,1
20,OuqoX4q_Lds,20,丸ノ内サディスティック,まるのうちさでぃすてぃっく,椎名林檎,しいなりんご,7256,7491,1,1
21,OuqoX4q_Lds,21,踊,おど,Ado,Ado,7495,7606,1,0
22,OuqoX4q_Lds,22,高音厨音域テスト,こうおんちゅうおんいきてすと,木村わいP,きむらわいP,7664,7753,1,1
23,OuqoX4q_Lds,23,乙女解剖,おとめかいぼう,DECO*27,DECO*27,7760,7980,1,1
24,OuqoX4q_Lds,24,セツナトリップ,せつなとりっぷ,Last Note.,Last Note.,8036,8282,1,1
25,OuqoX4q_Lds,25,星間飛行,せいかんひこう,ランカ・リー=中島愛,らんか・りー=なかじまめぐみ,8440,8668,1,1
26,OuqoX4q_Lds,26,ファンサ,ふぁんさ,HoneyWorks,HoneyWorks,8773,9023,1,1
